Name1,Name2,Set,Card_type1,Card_type2,Mana_Cost1,Mana_Cost2,Mana_Value1,Mana_Value2,Color,Rarity,Price
Aboleth Spawn,,CLB,Creature,,2U,,3.0,0.0,U,R,1.88
Abolish,,DDF,Instant,,1WW,,3.0,0.0,W,U,0.36
Abominable Treefolk,,MH1,Creature,,2GU,,4.0,0.0,UG,U,0.21
Abomination,,4ED,Creature,,3BB,,5.0,0.0,B,U,2.25
Abomination of Gudul,,KTK,Creature,,3BGU,,6.0,0.0,UBG,C,0.08
Abomination of Llanowar,,KHC,Creature,,1BG,,3.0,0.0,BG,U,0.35
Aboroth,,WTH,Creature,,4GG,,6.0,0.0,G,R,2.22
"Aboshan, Cephalid Emperor",,ODY,Creature,,4UU,,6.0,0.0,U,R,0.67
Aboshan's Desire,,ODY,Enchantment,,U,,1.0,0.0,U,C,0.2
About Face,,ULG,Instant,,R,,1.0,0.0,R,C,0.11
Abrade,,VOW,Instant,,1R,,2.0,0.0,R,C,0.97
Abrupt Decay,,MM3,Instant,,BG,,2.0,0.0,BG,R,7.03
Absolute Grace,,USG,Enchantment,,1W,,2.0,0.0,W,U,0.33
Absolute Law,,USG,Enchantment,,1W,,2.0,0.0,W,U,0.44
Absolver Thrull,,GPT,Creature,,3W,,4.0,0.0,W,C,0.09
Absorb,,RNA,Instant,,WUU,,3.0,0.0,WU,R,2.36
Absorb Identity,,KHM,Instant,,1U,,2.0,0.0,U,U,0.1
Absorb Vis,,CN2,Sorcery,,6B,,7.0,0.0,B,C,0.1
Abstruse Interference,,OGW,Instant,,2U,,3.0,0.0,U,C,0.05
Abu Ja'far,,CHR,Creature,,W,,1.0,0.0,W,U,25.22
Abuna Acolyte,,SOM,Creature,,1W,,2.0,0.0,W,U,0.14
Abuna's Chant,,5DN,Instant,,3W,,4.0,0.0,W,C,0.06
Abundance,,ZNC,Enchantment,,2GG,,4.0,0.0,G,R,1.8
Abundant Growth,,DMC,Enchantment,,G,,1.0,0.0,G,C,1.8
Abundant Harvest,,MH2,Sorcery,,G,,1.0,0.0,G,C,0.5
Abundant Maw,,EMN,Creature,,8,,8.0,0.0,B,U,0.08
Abyssal Gatekeeper,,DVD,Creature,,1B,,2.0,0.0,B,C,0.61
Abyssal Horror,,7ED,Creature,,4BB,,6.0,0.0,B,R,0.39
Abyssal Hunter,,6ED,Creature,,3B,,4.0,0.0,B,R,0.27
Abyssal Nightstalker,,P02,Creature,,3B,,4.0,0.0,B,U,0.32
Abyssal Nocturnus,,GPT,Creature,,1BB,,3.0,0.0,B,R,1.26
Abyssal Persecutor,,IMA,Creature,,2BB,,4.0,0.0,B,R,1.6
Abyssal Specter,,MM3,Creature,,2BB,,4.0,0.0,B,U,0.21
Abzan Advantage,,FRF,Instant,,1W,,2.0,0.0,W,C,0.05
Abzan Ascendancy,,2X2,Enchantment,,WBG,,3.0,0.0,WBG,R,0.51
Abzan Banner,,KTK,Artifact,,3,,3.0,0.0,WBG,C,0.08
Abzan Battle Priest,,IMA,Creature,,3W,,4.0,0.0,W,U,0.31
Abzan Beastmaster,,FRF,Creature,,2G,,3.0,0.0,G,U,0.21
Abzan Charm,,DMC,Instant,,WBG,,3.0,0.0,WBG,U,0.16
Abzan Falconer,,2X2,Creature,,2W,,3.0,0.0,W,U,0.15
Abzan Guide,,KTK,Creature,,3WBG,,6.0,0.0,WBG,C,0.06
Abzan Kin-Guard,,FRF,Creature,,3G,,4.0,0.0,G,U,0.08
Abzan Runemark,,FRF,Enchantment,,2W,,3.0,0.0,W,C,0.09
Abzan Skycaptain,,FRF,Creature,,3W,,4.0,0.0,W,C,0.08
Academic Dispute,,STX,Instant,,R,,1.0,0.0,R,U,0.05
Academic Probation,,STX,Sorcery,,1W,,2.0,0.0,W,R,0.17
Academy Drake,,DOM,Creature,,2U,,3.0,0.0,U,C,0.03
Academy Elite,,C16,Creature,,3U,,4.0,0.0,U,R,0.15
Academy Journeymage,,DOM,Creature,,4U,,5.0,0.0,U,C,0.06
Academy Loremaster,,DMU,Creature,,UU,,2.0,0.0,U,R,0.41
Academy Manufactor,,MH2,Creature Artifact,,3,,3.0,0.0,C,R,4.48
Academy Raider,,M14,Creature,,2R,,3.0,0.0,R,C,0.06
Academy Rector,,UDS,Creature,,3W,,4.0,0.0,W,R,59.26
Academy Researchers,,10E,Creature,,1UU,,3.0,0.0,U,U,0.32
Academy Ruins,,PHE,Land,,,,0.0,0.0,U,R,15.78
Academy Wall,,DMU,Creature,,2U,,3.0,0.0,U,C,0.03
Accelerate,,TOR,Instant,,1R,,2.0,0.0,R,C,0.38
Accelerated Mutation,,SCG,Instant,,3GG,,5.0,0.0,G,C,0.09
Acceptable Losses,,ODY,Sorcery,,3R,,4.0,0.0,R,C,0.08
Access Denied,,NEC,Instant,,3UU,,5.0,0.0,U,R,0.47
Access Tunnel,,STX,Land,,,,0.0,0.0,C,U,1.0
Acclaimed Contender,,ELD,Creature,,2W,,3.0,0.0,W,R,0.75
Accomplished Alchemist,,STX,Creature,,3G,,4.0,0.0,G,R,0.91
Accomplished Automaton,,2XM,Creature Artifact,,7,,7.0,0.0,C,C,0.04
Accorder Paladin,,MBS,Creature,,1W,,2.0,0.0,W,U,0.16
Accorder's Shield,,M14,Artifact,,0,,0.0,0.0,C,U,0.16
Accumulated Knowledge,,A25,Instant,,1U,,2.0,0.0,U,C,2.58
Accursed Centaur,,ONS,Creature,,B,,1.0,0.0,B,C,0.15
Accursed Horde,,GN2,Creature,,3B,,4.0,0.0,B,U,0.12
Accursed Spirit,,M15,Creature,,3B,,4.0,0.0,B,C,0.05
Accursed Witch,Infectious Curse,SOI,Creature,Enchantment,3B,,4.0,0.0,B,U,0.28
Acererak the Archlich,,AFR,Creature,,2B,,3.0,0.0,B,M,20.47
Acidic Dagger,,MIR,Artifact,,4,,4.0,0.0,C,R,1.2
Acidic Slime,,NEC,Creature,,3GG,,5.0,0.0,G,U,0.94
Acidic Sliver,,TPR,Creature,,BR,,2.0,0.0,BR,U,0.72
Acidic Soil,,USG,Sorcery,,2R,,3.0,0.0,R,U,1.19
Acid Rain,,ME4,Sorcery,,3U,,4.0,0.0,U,R,161.27
Acid-Spewer Dragon,,DTK,Creature,,5B,,6.0,0.0,B,U,0.21
Acid Web Spider,,SOM,Creature,,3GG,,5.0,0.0,G,U,0.17
Acolyte Hybrid,,40K,Creature,,2R,,3.0,0.0,R,U,0.16
Acolyte of Affliction,,THB,Creature,,2BG,,4.0,0.0,BG,U,0.06
Acolyte of Bahamut,,CLB,Enchantment,,1G,,2.0,0.0,G,U,0.14
Acolyte of the Inferno,,ORI,Creature,,2R,,3.0,0.0,R,U,0.05
Acolyte of Xathrid,,M10,Creature,,B,,1.0,0.0,B,C,0.12
Acolyte's Reward,,BNG,Instant,,1W,,2.0,0.0,W,U,0.08
Acorn Catapult,,CMD,Artifact,,4,,4.0,0.0,C,R,3.72
Acorn Harvest,,TOR,Sorcery,,3G,,4.0,0.0,G,C,0.43
Acquire,,5DN,Sorcery,,3UU,,5.0,0.0,U,R,6.06
Acquisition Octopus,,NEO,Creature Artifact,,2U,,3.0,0.0,U,U,0.08
Acquisitions Expert,,ZNR,Creature,,1B,,2.0,0.0,B,U,0.07
Acridian,,USG,Creature,,1G,,2.0,0.0,G,C,0.13
Acrobatic Maneuver,,KLD,Instant,,2W,,3.0,0.0,W,C,0.17
Activated Sleeper,,DMC,Creature,,2B,,3.0,0.0,B,R,0.8
Active Volcano,,ME3,Instant,,R,,1.0,0.0,R,U,0.32
Act of Aggression,,C15,Instant,,3R/PR/P,,5.0,0.0,R,U,0.24
Act of Authority,,C13,Enchantment,,1WW,,3.0,0.0,W,R,1.52
Act of Heroism,,A25,Instant,,1W,,2.0,0.0,W,C,0.04
Act of Treason,,JMP,Sorcery,,2R,,3.0,0.0,R,C,0.04
Act on Impulse,,M15,Sorcery,,2R,,3.0,0.0,R,U,0.19
Adamant Will,,VOW,Instant,,1W,,2.0,0.0,W,C,0.06
"Adamaro, First to Desire",,SOK,Creature,,1RR,,3.0,0.0,R,R,0.95
Adanto Vanguard,,XLN,Creature,,1W,,2.0,0.0,W,U,0.22
Adaptive Automaton,,2XM,Creature Artifact,,3,,3.0,0.0,C,R,3.53
Adaptive Shimmerer,,IKO,Creature,,5,,5.0,0.0,C,C,0.02
Adaptive Snapjaw,,GTC,Creature,,4G,,5.0,0.0,G,C,0.05
Adarkar Sentinel,,ME2,Creature Artifact,,5,,5.0,0.0,C,C,0.17
Adarkar Unicorn,,ICE,Creature,,1WW,,3.0,0.0,WU,C,0.15
Adarkar Valkyrie,,C18,Creature,,4WW,,6.0,0.0,W,R,1.12
Adarkar Wastes,,DMU,Land,,,,0.0,0.0,WU,R,6.4
Adarkar Windform,,CSP,Creature,,4U,,5.0,0.0,U,U,0.17
Adder-Staff Boggart,,LRW,Creature,,1R,,2.0,0.0,R,C,0.1
Addle,,VMA,Sorcery,,1B,,2.0,0.0,B,C,0.26
"Adeline, Resplendent Cathar",,MID,Creature,,1WW,,3.0,0.0,W,R,12.22
"Adeliz, the Cinder Wind",,DOM,Creature,,1UR,,3.0,0.0,UR,U,0.58
Adherent of Hope,,M21,Creature,,1W,,2.0,0.0,W,C,0.15
Admiral Beckett Brass,,XLN,Creature,,1UBR,,4.0,0.0,UBR,M,5.23
Admiral's Order,,RIX,Instant,,1UU,,3.0,0.0,U,R,0.67
Admonition Angel,,ZNC,Creature,,3WWW,,6.0,0.0,W,M,6.47
Ad Nauseam,,2XM,Instant,,3BB,,5.0,0.0,B,R,13.15
Adorned Pouncer,,HOU,Creature,,1W,,2.0,0.0,W,R,1.79
"Adriana, Captain of the Guard",,DMC,Creature,,3RW,,5.0,0.0,WR,R,0.32
"Adrix and Nev, Twincasters",,C21,Creature,,2GU,,4.0,0.0,UG,M,9.24
Adult Gold Dragon,,AFR,Creature,,3RW,,5.0,0.0,WR,R,10.28
Adun Oakenshield,,ME1,Creature,,BRG,,3.0,0.0,BRG,R,180.76
Advanced Hoverguard,,5DN,Creature,,3U,,4.0,0.0,U,C,0.08
Advanced Stitchwing,,2X2,Creature,,3UU,,5.0,0.0,U,C,0.09
Advance Scout,,TMP,Creature,,1W,,2.0,0.0,W,C,0.14
Advent of the Wurm,,MM3,Instant,,1GGW,,4.0,0.0,WG,R,0.22
Adventure Awaits,,ZNR,Sorcery,,1G,,2.0,0.0,G,C,0.04
Adventurers' Guildhouse,,LEG,Land,,,,0.0,0.0,C,U,13.63
Adventuring Gear,,ZEN,Artifact,,1,,1.0,0.0,C,C,0.19
Adventurous Impulse,,IKO,Sorcery,,G,,1.0,0.0,G,C,0.12
Adverse Conditions,,BFZ,Instant,,3U,,4.0,0.0,U,U,0.08
Advice from the Fae,,SHM,Sorcery,,2/U2/U2/U,,9.0,0.0,U,U,0.22
Advocate of the Beast,,M14,Creature,,2G,,3.0,0.0,G,C,0.06
"Aegar, the Freezing Flame",,KHM,Creature,,1UR,,3.0,0.0,UR,U,0.08
Aegis Angel,,E01,Creature,,4WW,,6.0,0.0,W,R,0.3
Aegis Automaton,,AER,Creature Artifact,,2,,2.0,0.0,W,C,0.04
Aegis of Honor,,ODY,Enchantment,,W,,1.0,0.0,W,R,1.31
Aegis of the Gods,,JOU,Enchantment Creature,,1W,,2.0,0.0,W,R,1.83
Aegis of the Heavens,,JMP,Instant,,1W,,2.0,0.0,W,U,0.16
Aegis of the Meek,,ICE,Artifact,,3,,3.0,0.0,C,R,0.95
Aegis Turtle,,JMP,Creature,,U,,1.0,0.0,U,C,0.06
Aeolipile,,ME2,Artifact,,2,,2.0,0.0,C,C,2.3
Aeon Chronicler,,TSR,Creature,,3UU,,5.0,0.0,U,R,0.19
Aeon Engine,,C19,Artifact,,5,,5.0,0.0,C,R,0.23
Aerathi Berserker,,LEG,Creature,,2RRR,,5.0,0.0,R,U,4.66
Aerial Assault,,JMP,Sorcery,,2W,,3.0,0.0,W,C,0.04
Aerial Caravan,,MMQ,Creature,,4UU,,6.0,0.0,U,R,0.44
Aerial Engineer,,M19,Creature,,2WU,,4.0,0.0,WU,U,0.04
Aerialephant,,UNF,Creature,,3W,,4.0,0.0,W,C,0.21
Aerial Extortionist,,NCC,Creature,,3WW,,5.0,0.0,W,R,5.16
Aerial Formation,,JOU,Instant,,U,,1.0,0.0,U,C,0.05
Aerial Guide,,HOU,Creature,,2U,,3.0,0.0,U,C,0.02
Aerial Maneuver,,GTC,Instant,,1W,,2.0,0.0,W,C,0.04
Aerial Modification,,AER,Enchantment,,4W,,5.0,0.0,W,U,0.14
Aerial Predation,,IMA,Instant,,2G,,3.0,0.0,G,C,0.03
Aerial Responder,,C20,Creature,,1WW,,3.0,0.0,W,U,0.18
Aerial Surveyor,,NEC,Artifact,,2W,,3.0,0.0,W,R,0.62
Aerial Volley,,ORI,Instant,,G,,1.0,0.0,G,C,0.05
Aerie Bowmasters,,DTK,Creature,,2GG,,4.0,0.0,G,C,0.1
Aerie Mystics,,CMA,Creature,,4W,,5.0,0.0,WUG,U,0.14
Aerie Ouphes,,EVE,Creature,,4G,,5.0,0.0,G,C,0.23
Aerie Worshippers,,BNG,Creature,,3U,,4.0,0.0,U,U,0.09
Aeromoeba,,MH2,Creature,,3U,,4.0,0.0,U,C,0.01
Aeromunculus,,RNA,Creature,,1GU,,3.0,0.0,UG,C,0.02
Aeronaut Admiral,,NEC,Creature,,3W,,4.0,0.0,W,U,0.12
Aeronaut Cavalry,,BRO,Creature,,4W,,5.0,0.0,W,C,0.01
Aeronaut's Wings,,BRO,Artifact,,2,,2.0,0.0,C,C,0.03
Aeronaut Tinkerer,,M15,Creature,,2U,,3.0,0.0,U,C,0.48
"Aesi, Tyrant of Gyre Strait",,CMR,Creature,,4GU,,6.0,0.0,UG,M,15.46
Aesthir Glider,,DOM,Creature Artifact,,3,,3.0,0.0,C,C,0.1
Aether Adept,,DDM,Creature,,1UU,,3.0,0.0,U,C,0.14
Aether Barrier,,NEM,Enchantment,,2U,,3.0,0.0,U,R,1.89
Aetherborn Marauder,,KLD,Creature,,3B,,4.0,0.0,B,U,0.06
Aether Burst,,ODY,Instant,,1U,,2.0,0.0,U,C,0.1
Aether Channeler,,DMU,Creature,,2U,,3.0,0.0,U,R,1.56
Aether Charge,,ONS,Enchantment,,4R,,5.0,0.0,R,U,0.18
Aether Chaser,,AER,Creature,,1R,,2.0,0.0,R,C,0.04
Aether Figment,,DDM,Creature,,1U,,2.0,0.0,U,U,0.15
Aetherflame Wall,,TSP,Creature,,1R,,2.0,0.0,R,C,0.13
Aether Flash,,7ED,Enchantment,,2RR,,4.0,0.0,R,U,0.57
Aetherflux Reservoir,,KLD,Artifact,,4,,4.0,0.0,C,R,13.6
Aether Gale,,CLB,Sorcery,,3UU,,5.0,0.0,U,R,0.58
Aethergeode Miner,,AER,Creature,,1W,,2.0,0.0,W,R,0.22
Aether Gust,,M20,Instant,,1U,,2.0,0.0,U,U,3.5
Aether Helix,,STX,Sorcery,,3GU,,5.0,0.0,UG,U,0.04
Aether Herder,,AER,Creature,,3G,,4.0,0.0,G,C,0.09
Aether Hub,,KLD,Land,,,,0.0,0.0,C,U,0.21
Aether Inspector,,AER,Creature,,3W,,4.0,0.0,W,C,0.04
Aetherize,,ZNC,Instant,,3U,,4.0,0.0,U,U,0.7
Aetherling,,DGM,Creature,,4UU,,6.0,0.0,U,R,0.25
Aethermage's Touch,,2X2,Instant,,2WU,,4.0,0.0,WU,U,0.17
Aether Meltdown,,KLD,Enchantment,,1U,,2.0,0.0,U,U,0.05
Aether Membrane,,DDI,Creature,,1RR,,3.0,0.0,R,U,0.32
Aether Mutation,,VMA,Sorcery,,3GU,,5.0,0.0,UG,U,0.19
Aetherplasm,,GPT,Creature,,2UU,,4.0,0.0,U,U,0.21
Aether Poisoner,,AER,Creature,,1B,,2.0,0.0,B,C,0.04
Aether Rift,,INV,Enchantment,,1RG,,3.0,0.0,RG,R,0.57
Aether Searcher,,CNS,Creature Artifact,,7,,7.0,0.0,C,R,0.24
Aethershield Artificer,,M19,Creature,,3W,,4.0,0.0,W,U,0.16
Aether Shockwave,,SOK,Instant,,3W,,4.0,0.0,W,U,0.53
Aether Snap,,NCC,Sorcery,,3BB,,5.0,0.0,B,R,0.49
Aethersnatch,,C15,Instant,,4UU,,6.0,0.0,U,R,1.25
Aethersnipe,,2X2,Creature,,5U,,6.0,0.0,U,C,0.13
Aether Spellbomb,,JMP,Artifact,,1,,1.0,0.0,U,C,0.28
Aethersphere Harvester,,AER,Artifact,,3,,3.0,0.0,C,R,1.02
Aetherspouts,,MIC,Instant,,3UU,,5.0,0.0,U,R,0.3
Aethersquall Ancient,,KLD,Creature,,5UU,,7.0,0.0,U,R,0.71
Aether Sting,,UDS,Enchantment,,3R,,4.0,0.0,R,U,0.28
Aether Storm,,ME2,Enchantment,,3U,,4.0,0.0,U,U,0.22
Aetherstorm Roc,,KLD,Creature,,2WW,,4.0,0.0,W,R,0.32
Aetherstream Leopard,,AER,Creature,,2G,,3.0,0.0,G,C,0.07
Aether Swooper,,AER,Creature,,1U,,2.0,0.0,U,C,0.03
Aether Theorist,,KLD,Creature,,1U,,2.0,0.0,U,C,0.02
Aether Tide,,EXO,Sorcery,,XU,,1.0,0.0,U,C,0.12
Aethertide Whale,,AER,Creature,,4UU,,6.0,0.0,U,R,0.39
Aethertorch Renegade,,KLD,Creature,,2R,,3.0,0.0,R,U,0.06
Aethertow,,MM3,Instant,,3W/U,,5.0,0.0,WU,C,0.07
Aether Tradewinds,,KLD,Instant,,2U,,3.0,0.0,U,C,0.07
Aether Tunnel,,M19,Enchantment,,1U,,2.0,0.0,U,U,0.24
Aether Vial,,2X2,Artifact,,1,,1.0,0.0,C,R,36.28
Aether Web,,TSP,Enchantment,,1G,,2.0,0.0,G,C,0.14
Aetherwind Basker,,AER,Creature,,4GGG,,7.0,0.0,G,M,0.76
Aetherworks Marvel,,KLD,Artifact,,4,,4.0,0.0,C,M,5.76
"Aeve, Progenitor Ooze",,MH2,Creature,,2GGG,,5.0,0.0,G,R,0.29
Affa Guard Hound,,JMP,Creature,,2W,,3.0,0.0,W,U,0.08
Affa Protector,,OGW,Creature,,2W,,3.0,0.0,W,C,0.06
Affectionate Indrik,,JMP,Creature,,5G,,6.0,0.0,G,U,0.04
Afflict,,10E,Instant,,2B,,3.0,0.0,B,C,0.27
Afflicted Deserter,Werewolf Ransacker,DKA,Creature,Creature,3R,,4.0,0.0,R,U,0.23
Afiya Grove,,MIR,Enchantment,,1G,,2.0,0.0,G,R,2.26
Afterlife,,C14,Instant,,2W,,3.0,0.0,W,U,0.19
Aftershock,,TPR,Sorcery,,2RR,,4.0,0.0,R,C,0.22
Agadeem Occultist,,WWK,Creature,,2B,,3.0,0.0,B,R,0.27
Agadeem's Awakening,"Agadeem, the Undercrypt",ZNR,Sorcery,Land,XBBB,,3.0,0.0,B,M,22.05
Ageless Entity,,C21,Creature,,3GG,,5.0,0.0,G,R,0.21
Ageless Guardian,,STX,Creature,,1W,,2.0,0.0,W,C,0.01
Ageless Sentinels,,SCG,Creature,,3W,,4.0,0.0,W,R,0.19
Agent of Acquisitions,,CNS,Creature Artifact,,2,,2.0,0.0,C,U,0.2
Agent of Erebos,,JOU,Enchantment Creature,,3B,,4.0,0.0,B,U,0.3
Agent of Horizons,,THS,Creature,,2G,,3.0,0.0,UG,C,0.02
Agent of Masks,,MM3,Creature,,3WB,,5.0,0.0,WB,U,0.2
Agent of Shauku,,PCY,Creature,,1B,,2.0,0.0,B,C,0.15
Agent of Stromgald,,ALL,Creature,,R,,1.0,0.0,BR,C,0.2
Agent of the Fates,,THS,Creature,,1BB,,3.0,0.0,B,R,0.25
Agent of the Iron Throne,,CLB,Enchantment,,2B,,3.0,0.0,B,U,0.8
Agent of the Shadow Thieves,,CLB,Enchantment,,1B,,2.0,0.0,B,U,0.16
Agent of Treachery,,M20,Creature,,5UU,,7.0,0.0,U,R,8.52
Agent's Toolkit,,NCC,Artifact,,1GU,,3.0,0.0,UG,R,2.21
Aggravate,,AVR,Instant,,3RR,,5.0,0.0,R,U,0.05
Aggravated Assault,,ONS,Enchantment,,2R,,3.0,0.0,R,R,54.72
Aggression,,ICE,Enchantment,,2R,,3.0,0.0,R,U,0.16
Aggressive Instinct,,GS1,Sorcery,,1G,,2.0,0.0,G,C,0.2
Aggressive Mammoth,,M20,Creature,,3GGG,,6.0,0.0,G,R,0.59
Aggressive Mining,,M15,Enchantment,,3R,,4.0,0.0,R,R,0.37
Aggressive Sabotage,,DMU,Sorcery,,2B,,3.0,0.0,BR,C,0.02
Aggressive Urge,,JMP,Instant,,1G,,2.0,0.0,G,C,0.07
Agility,,MIR,Enchantment,,1R,,2.0,0.0,R,C,0.11
Agitator Ant,,CLB,Creature,,2R,,3.0,0.0,R,R,0.17
Agonizing Demise,,DDH,Instant,,3B,,4.0,0.0,BR,C,0.12
Agonizing Memories,,10E,Sorcery,,2BB,,4.0,0.0,B,U,0.21
Agonizing Remorse,,THB,Sorcery,,1B,,2.0,0.0,B,U,0.11
Agonizing Syphon,,JMP,Sorcery,,3B,,4.0,0.0,B,C,0.02
Agony Warp,,2X2,Instant,,UB,,2.0,0.0,UB,C,0.13
A Good Day to Pie,,UNF,Instant,,1W,,2.0,0.0,W,C,0.18
Agoraphobia,,DDM,Enchantment,,1U,,2.0,0.0,U,U,0.09
"Agrus Kos, Eternal Soldier",,J22,Creature,,3W,,4.0,0.0,WR,R,0.84
"Agrus Kos, Wojek Veteran",,RAV,Creature,,3RW,,5.0,0.0,WR,R,0.32
Ahn-Crop Champion,,AKH,Creature,,2GW,,4.0,0.0,WG,U,0.08
Ahn-Crop Crasher,,AKH,Creature,,2R,,3.0,0.0,R,U,0.08
Ahn-Crop Invader,,WAR,Creature,,2R,,3.0,0.0,R,C,0.02
Aid from the Cowl,,AER,Enchantment,,3GG,,5.0,0.0,G,R,0.6
Aid the Fallen,,WAR,Sorcery,,1B,,2.0,0.0,B,C,0.1
Aim for the Head,,VOW,Sorcery,,2B,,3.0,0.0,B,C,0.05
Aim High,,BBD,Instant,,1G,,2.0,0.0,G,U,0.06
Ainok Artillerist,,DTK,Creature,,2G,,3.0,0.0,G,C,0.06
Ainok Bond-Kin,,2X2,Creature,,1W,,2.0,0.0,W,C,0.09
Ainok Guide,,FRF,Creature,,1G,,2.0,0.0,G,C,0.08
Ainok Survivalist,,C19,Creature,,1G,,2.0,0.0,G,C,0.09
Ainok Tracker,,KTK,Creature,,5R,,6.0,0.0,R,C,0.1
Air Bladder,,NEM,Enchantment,,U,,1.0,0.0,U,C,0.14
Airborne Aid,,ONS,Sorcery,,3U,,4.0,0.0,U,C,0.17
Air-Cult Elemental,,AFR,Creature,,4UU,,6.0,0.0,U,C,0.01
Airdrop Aeronauts,,AER,Creature,,3WW,,5.0,0.0,W,U,0.08
Airdrop Condor,,ONS,Creature,,4R,,5.0,0.0,R,U,0.16
Air Elemental,,M20,Creature,,3UU,,5.0,0.0,U,U,9.42
Airlift Chaplain,,BRO,Creature,,2W,,3.0,0.0,W,C,0.02
Air Marshal,,BRO,Creature,,1U,,2.0,0.0,U,C,0.02
Air Servant,,W16,Creature,,4U,,5.0,0.0,U,U,0.05
Aisha of Sparks and Smoke,,SLX,Creature,,1RR,,3.0,0.0,WR,R,11.93
Aisling Leprechaun,,LEG,Creature,,G,,1.0,0.0,G,C,0.94
"Ajani, Adversary of Tyrants",,M19,Planeswalker,,2WW,,4.0,0.0,W,M,6.75
"Ajani, Caller of the Pride",,M14,Planeswalker,,1WW,,3.0,0.0,W,M,60.11
Ajani Goldmane,,M11,Planeswalker,,2WW,,4.0,0.0,W,M,8.22
"Ajani, Inspiring Leader",,M20,Planeswalker,,4WW,,6.0,0.0,W,M,6.15
"Ajani, Mentor of Heroes",,JOU,Planeswalker,,3GW,,5.0,0.0,WG,M,13.24
Ajani's Aid,,AER,Enchantment,,2GW,,4.0,0.0,WG,R,0.17
Ajani's Chosen,,JMP,Creature,,2WW,,4.0,0.0,W,R,1.3
Ajani's Comrade,,AER,Creature,,1G,,2.0,0.0,G,U,0.15
Ajani's Influence,,M19,Sorcery,,2WW,,4.0,0.0,W,R,0.37
Ajani's Last Stand,,M19,Enchantment,,2WW,,4.0,0.0,W,R,0.34
"Ajani, Sleeper Agent",,DMU,Planeswalker,,1GG/W/PW,,5.0,0.0,WG,M,5.46
Ajani's Mantra,,DDH,Enchantment,,1W,,2.0,0.0,W,C,0.23
Ajani's Presence,,JOU,Instant,,W,,1.0,0.0,W,C,0.17
Ajani's Pridemate,,WAR,Creature,,1W,,2.0,0.0,W,U,0.22
Ajani's Sunstriker,,CNS,Creature,,WW,,2.0,0.0,W,C,0.18
Ajani Steadfast,,M15,Planeswalker,,3W,,4.0,0.0,W,M,23.15
"Ajani, Strength of the Pride",,M20,Planeswalker,,2WW,,4.0,0.0,W,M,9.29
Ajani's Welcome,,M19,Enchantment,,W,,1.0,0.0,W,U,1.68
"Ajani, the Greathearted",,WAR,Planeswalker,,2GW,,4.0,0.0,WG,R,13.33
Ajani Unyielding,,NCC,Planeswalker,,4GW,,6.0,0.0,WG,M,2.62
"Ajani, Valiant Protector",,AER,Planeswalker,,4GW,,6.0,0.0,WG,M,1.69
Ajani Vengeant,,DDH,Planeswalker,,2RW,,4.0,0.0,WR,M,3.38
"Ajani, Wise Counselor",,M19,Planeswalker,,3WW,,5.0,0.0,W,M,6.27
"Akim, the Soaring Wind",,C20,Creature,,2URW,,5.0,0.0,WUR,M,0.27
"Akiri, Fearless Voyager",,ZNR,Creature,,1RW,,3.0,0.0,WR,R,0.66
"Akiri, Line-Slinger",,C16,Creature,,RW,,2.0,0.0,WR,R,2.14
Akki Avalanchers,,CHK,Creature,,R,,1.0,0.0,R,C,0.09
